location-long,location-lat,Taxa,utm-easting,utm-northing,utm-zone
-115.08,34.53,Coccyzus americanus,676210.9515,3822597.797,11N
-115.48,34.01,Coccyzus americanus,640358.4676,3764306.272,11N
-115.14,34.22,Coccyzus americanus,671334.0382,3788113.874,11N
-115.3,33.92,Coccyzus americanus,657147.1016,3754586.983,11N
-115.21,34.14,Coccyzus americanus,665040.9585,3779126.207,11N
-115.13,32.73,Coccyzus americanus,675230.7551,3622901.81,11N
-114.45,34.59,Coccyzus americanus,733874.077,3830532.85,11N
-110.75,30.82,Coccyzus americanus,523911.2635,3409680.418,12N
-111.87,32,Coccyzus americanus,417822.455,3540766.329,12N
-110.93,31.94,Coccyzus americanus,506616.1769,3533787.316,12N
-111.12,32.92,Coccyzus americanus,488779.991,3642424.579,12N
-111.05,33.24,Coccyzus americanus,495341.8948,3677894.994,12N
-111.28,32.48,Coccyzus americanus,473691.1681,3593676.614,12N
-111.31,32.84,Coccyzus americanus,470988.8771,3633592.117,12N
-111.13,32.03,Coccyzus americanus,487724.8004,3543768.361,12N
-111.14,30.52,Coccyzus americanus,486568.269,3376416.185,12N
-111.3,30.47,Coccyzus americanus,471202.9465,3370905.257,12N
-74.95,20,Coccyzus americanus,505230.2619,2211482.088,18N
-74.89,19.9,Coccyzus americanus,511513.8293,2200419.131,18N
-75.33,21.96,Coccyzus americanus,465927.4404,2428436.223,18N
-74.21,17.78,Coccyzus americanus,583736.7359,1966022.161,18N
-76.85,24.12,Coccyzus americanus,311987.4946,2668752.988,18N
-72.8,14.06,Coccyzus americanus,737569.781,1555470.466,18N
-72.35,13.53,Coccyzus americanus,786839.285,1497300.345,18N
-70.77,0.87,Coccyzus americanus,303034.341,96207.42011,19N
-72.56,3.57,Coccyzus americanus,771069.41,394956.957,18N
-71.35,-2.99,Coccyzus americanus,238784.1044,9669232.606,19S
-71.89,7.25,Coccyzus americanus,180837.5018,802402.1077,19N
-70.55,-3.35,Coccyzus americanus,327795.5634,9629583.974,19S
-70.71,3.23,Coccyzus americanus,309991.8541,357175.6395,19N
-68.9,-6.13,Coccyzus americanus,511064.299,9322423.885,19S
-68.66,-7.07,Coccyzus americanus,537547.9403,9218499.153,19S
-68.18,-5.87,Coccyzus americanus,590773.2567,9351099.446,19S
-68.69,-3.72,Coccyzus americanus,534423.2108,9588816.39,19S
-68.47,-8.99,Coccyzus americanus,558256.8077,9006211.29,19S
-67.6,-11.94,Coccyzus americanus,652450.3143,8679695.642,19S
-68.6,-4.67,Coccyzus americanus,544363.5612,9483800.613,19S
-68.6,-8.71,Coccyzus americanus,544000.3933,9037185.906,19S
-68.93,-9.26,Coccyzus americanus,507688.4085,8976401.987,19S
-69.18,-8.4,Coccyzus americanus,480183.9295,9071476.549,19S
-68.35,-2.61,Coccyzus americanus,572255.7502,9711495.912,19S
-62.31,-11.79,Coccyzus americanus,575172.0893,8696575.091,20S
-60.91,-16.3,Coccyzus americanus,723317.6898,8196736.304,20S
-61.38,-14.98,Coccyzus americanus,674198.522,8343249.413,20S
-62.19,-14.5,Coccyzus americanus,587282.6567,8396820.542,20S
-61.19,-17.37,Coccyzus americanus,692306.6772,8078605.928,20S
-61.42,-17.29,Coccyzus americanus,667937.1587,8087674.938,20S
-61.68,-16.2,Coccyzus americanus,641098.1435,8208488.021,20S
-61.52,-16.4,Coccyzus americanus,658043.5338,8186241.618,20S
-61.69,-16.8,Coccyzus americanus,639597.8928,8142108.431,20S
-61.26,-17.05,Coccyzus americanus,685185.781,8114089.045,20S
-60.92,-16.38,Coccyzus americanus,722158.3118,8187892.847,20S
-61.21,-17.05,Coccyzus americanus,690508.635,8114040.952,20S
-61.73,-17.71,Coccyzus americanus,634672.6256,8041444.367,20S
-64.01,-17.85,Coccyzus americanus,392984.1863,8026120.602,20S
-63.18,-20.36,Coccyzus americanus,481214.2106,7748670.011,20S
-64.7,-18.03,Coccyzus americanus,320042.51,8005668.877,20S
-62.11,-17.6,Coccyzus americanus,594430.9941,8053846.222,20S
-63.25,-21.84,Coccyzus americanus,474165.8824,7584861.66,20S
-63.26,-22.44,Coccyzus americanus,473246.0919,7518446.727,20S
-63.66,-24,Coccyzus americanus,432869.6907,7345616.195,20S
-63.42,-23.72,Coccyzus americanus,457189.1697,7376709.673,20S
-63.55,-23.15,Coccyzus americanus,443697.0323,7439768.88,20S
-63.93,-23.76,Coccyzus americanus,405231.2762,7372034.484,20S
-63.93,-23.53,Coccyzus americanus,405065.4831,7397499.804,20S
-63.43,-24.6,Coccyzus americanus,456469.1324,7279274.498,20S
-62.68,-21.76,Coccyzus americanus,533086.0852,7593703.038,20S
-63.12,-22.7,Coccyzus americanus,487675.2015,7489684.543,20S
-63.06,-22.71,Coccyzus americanus,493838.0506,7488581.322,20S
-62.69,-22.3,Coccyzus americanus,531930.8344,7533933.861,20S
-61.5,-23.25,Coccyzus americanus,653449.886,7428011.843,20S
-63.64,-23.88,Coccyzus americanus,434843.7771,7358911.708,20S
-63.33,-24.36,Coccyzus americanus,466529.2534,7305875.755,20S
-62.91,-20.71,Coccyzus americanus,509371.5437,7709944.309,20S
-63.78,-23.62,Coccyzus americanus,420432.4698,7387626.701,20S
-63.84,-23.21,Coccyzus americanus,414047.1246,7432984.665,20S
-63.73,-18.71,Coccyzus americanus,423033.7931,7931102.621,20S
-60.03,-21.32,Coccyzus americanus,808108.0901,7639531.242,20S
-61.85,-20.72,Coccyzus americanus,619745.6768,7708415.01,20S
-60.3,-22.18,Coccyzus americanus,778417.3834,7544771.55,20S
-60.88,-22.19,Coccyzus americanus,718571.3854,7544614.77,20S
-61.83,-19.44,Coccyzus americanus,622821.7816,7850068.948,20S
-60.92,-18.12,Coccyzus americanus,720084.0904,7995295.225,20S
-63.36,-23.64,Coccyzus americanus,463282.7113,7385583.285,20S
-63.47,-23.52,Coccyzus americanus,452019.792,7398835.952,20S
-63.01,-24.98,Coccyzus americanus,498990.7396,7237266.784,20S
-62.12,-19.7,Coccyzus americanus,592228.5541,7821477.369,20S
-61.98,-20.42,Coccyzus americanus,606415.771,7741709.872,20S
-62.07,-23.19,Coccyzus americanus,595176.8061,7435142.85,20S
-62.81,-22.92,Coccyzus americanus,519482.971,7465323.588,20S
-63.69,-23.02,Coccyzus americanus,429296.9741,7454099.751,20S
-62.45,-24.3,Coccyzus americanus,555811.216,7312448.399,20S
-63.08,-23.65,Coccyzus americanus,491841.2574,7384520.166,20S
-63.11,-22.23,Coccyzus americanus,488664.1023,7541710.792,20S
-61.62,-18.19,Coccyzus americanus,645944.6002,7988244.652,20S
-62.42,-20.21,Coccyzus americanus,560590.9617,7765173.867,20S
-61.94,-19.78,Coccyzus americanus,611039.6885,7812515.97,20S
-62.75,-18.83,Coccyzus americanus,526339.1451,7917963.954,20S
-62.04,-19.44,Coccyzus americanus,600775.0526,7850205.353,20S
-63.61,-19.59,Coccyzus americanus,436026.2883,7833774.068,20S
-63.72,-22.72,Coccyzus americanus,426060.6129,7487296.171,20S
-64.12,-21.21,Coccyzus americanus,383757.8169,7654199.724,20S
-62.47,-17.06,Coccyzus americanus,556397.6037,8113730.919,20S
-63.27,-21,Coccyzus americanus,471939.1428,7677828.667,20S
-61.91,-38.64,Coccyzus americanus,594862.6981,5722608.288,20S
-61.98,-39.98,Coccyzus americanus,587093.1021,5573964.451,20S
-61.49,-38.55,Coccyzus americanus,631581.1536,5732077.784,20S
-61.32,-24.83,Coccyzus americanus,669776.6883,7252830.472,20S
-61.97,-27.45,Coccyzus americanus,601784.9006,6963299.75,20S
-61.9,-36.81,Coccyzus americanus,598118.3776,5925640.236,20S
-72.76,-15.91,Coccyzus americanus,739820.3717,8239734.318,18S
-75.75,-11.35,Coccyzus americanus,418163.1265,8745215.038,18S
-74.04,-8.17,Coccyzus americanus,605751.7129,9096782.397,18S
-75.2,-9.45,Coccyzus americanus,478045.0006,8955390.169,18S
-75.64,-13.09,Coccyzus americanus,430621.3185,8552823.722,18S
-74.03,-7.14,Coccyzus americanus,607110.2394,9210661.871,18S
-75.43,-1.32,Coccyzus americanus,452163.9269,9854095.945,18S
-75.08,-7.78,Coccyzus americanus,491179.4006,9140022.528,18S
-72.09,-11.05,Coccyzus americanus,817973.4192,8776943.386,18S
-76,-2.94,Coccyzus americanus,388864.8687,9674989.055,18S
-76.03,-2.86,Coccyzus americanus,385522.4157,9683830.087,18S
-75.03,-3.6,Coccyzus americanus,496668.2943,9602086.525,18S
-75.29,-1.31,Coccyzus americanus,467738.5,9855203.52,18S
-75.66,-8.29,Coccyzus americanus,427319.3083,9083581.614,18S
-75.28,-3.48,Coccyzus americanus,468899.9551,9615346.081,18S
-74.65,-3.81,Coccyzus americanus,538860.9769,9578866.41,18S
-75.39,-3.07,Coccyzus americanus,456664.295,9660661.6,18S
-76.36,-6.49,Coccyzus americanus,349615.5745,9282427.507,18S
-78.22,0.04,Coccyzus americanus,809466.5897,4426.446339,17N
-80.58,6.9,Coccyzus americanus,546399.6432,762714.667,17N
-84.36,7.52,Coccyzus americanus,791356.2401,832112.6427,16N
-86.66,8.24,Coccyzus americanus,537445.697,910846.3014,16N
-86.76,7.9,Coccyzus americanus,526454.2847,873250.3383,16N
-87.11,11.04,Coccyzus americanus,487984.7936,1220404.467,16N
-86.69,10.67,Coccyzus americanus,533902.8571,1179508.552,16N
-84.41,7.12,Coccyzus americanus,786089.5478,787816.367,16N
-85.37,5.31,Coccyzus americanus,680629.1044,587169.217,16N
-87.67,8.56,Coccyzus americanus,426269.1845,946271.7425,16N
-89.97,13.66,Coccyzus americanus,178672.7316,1512092.596,16N
-100.58,21.78,Coccyzus americanus,336645.6078,2409312.233,14N
-104.02,24.4,Coccyzus americanus,599369.5546,2698864.352,13N
-111.7,29.06,Coccyzus americanus,431858.5561,3214835.322,12N
-111.55,29.26,Coccyzus americanus,446564.2136,3236917.306,12N
-111.32,33.74,Coccyzus americanus,470358.905,3733374.277,12N
-110.92,34.27,Coccyzus americanus,507364.3711,3792096.596,12N
-110.99,30.64,Coccyzus americanus,500958.2281,3389706.045,12N
-112.32,30.53,Coccyzus americanus,373365.5318,3378257.12,12N
-113.45,28.42,Coccyzus americanus,260009.9803,3146172.337,12N
-113.3,28.67,Coccyzus americanus,275239.5262,3173590.414,12N
-115.16,31.61,Coccyzus americanus,674543.0781,3498677.738,11N
-114.89,32.07,Coccyzus americanus,699168.9988,3550142.444,11N
-113.73,30.89,Coccyzus americanus,239031.9337,3420604.661,12N
-116.26,30.52,Coccyzus americanus,570997.221,3376640.693,11N
-114.37,33.54,Coccyzus americanus,744209.7813,3714252.11,11N
-114.47,31.63,Coccyzus americanus,739962.0352,3502204.728,11N
